CODIGO_PROYECTO,TITULO_PROYECTO,ENTIDAD,AREA_TEMATICA,DEPARTAMENTO_ENTIDAD,CIUDAD_ENTIDAD,,,,,,,
110145426002,Desarrollo de un Metodo Operativo de Monitoreo del Cultivo de la Papa Basado en Imagenes de Satelite.,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
650745425873,Lineamientos para la seleccion de Penaeus (Litopenaeus) vannamei  de alto crecimiento y sobrevivencia alimentados con dietas de origen vegetal sin harina de pescado.,CORPORACION CENTRO DE INVESTIGACION DE LA ACUICULTURA DE COLOMBIA - CENIACUA,INFORMACION NO SOLICITADA,BOLIVAR,CARTAGENA DE INDIAS,,,,,,,
726245425875,MICORRIZAS ARBUSCULARES EFECTIVAS PARA LA PALMA DE ACEITE EN LA ZONA ORIENTAL Y CENTRAL COLOMBIANAS,CORPORACION CENTRO DE INVESTIGACIONES EN PALMA DE ACEITE - CENIPALMA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
710645425850,Extraccion de aceite de aguacate prototipo de equipos para empresas agroindustriales rurales,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA,INFORMACION NO SOLICITADA,CUNDINAMARCA,MOSQUERA,,,,,,,
111945425810,Obtencion de alcohol a partir del bagazo y las hojas de la cana panelera mediante un sistema hibrido de pervaporacion hidrolisis y fermentacion. V2,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE MANIZALES,INFORMACION NO SOLICITADA,CALDAS,MANIZALES,,,,,,,
112045425844,MONTAJE Y UTILIZACION DE UNIDAD DE REFERENCIA TECNICA PRODUCTIVA (URTP) PARA LA INVESTIGACION EN EL PROCESAMIENTO MINIMO DE HORTALIZAS CASO CEBOLLA LARGA. ,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE PALMIRA,INFORMACION NO SOLICITADA,VALLE DEL CAUCA,PALMIRA,,,,,,,
710645425983,Determinacion de caracteristicas de escape al Mal Suramericano de las Hojas del Caucho en microcuencas del Magdalena Medio para el establecimiento de clones de Hevea brasiliensis de alta productividad,CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA,INFORMACION NO SOLICITADA,CUNDINAMARCA,MOSQUERA,,,,,,,
121045425814,DESARROLLO DE UNA LINEA DE PRODUCCION DE SISTEMAS DE CONDUCCION DE FLUIDOS DE PEQUENOS DIAMETROS A PARTIR DE PLASTICOS REFORZADOS CON FIBRA DE VIDRIO MEDIANTE LA TECNICA DE BOBINADO DE FILAMENTOS EMPLEANDO MOLDE CONTINUO,UNIVERSIDAD PONTIFICIA BOLIVARIANA - SEDE MEDELLIN,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
121545422112,Desarrollo de una planta piloto para fabricacion de microcomponentes oftalmologicos,UNIVERSIDAD DEL NORTE - UNINORTE,INFORMACION NO SOLICITADA,ATLANTICO,BARRANQUILLA,,,,,,,
332445422115,INVESTIGACION DISENO E IMPLEMENTACION DE LAS MEJORES PRACTICAS DE TRATAMIENTO TERMICO PARA PIEZAS FORJADAS EN ACERO EN LA EMPRESA FORJAS BOLIVAR S.A.,CORPORACION CENTRO TECNOLOGICO DE LA INDUSTRIA METALURGICA ECO-EFICIENTE - CTF - IME,INFORMACION NO SOLICITADA,ANTIOQUIA,MEDELLIN,,,,,,,
658645422040,AUMENTO DE COMPETITIVIDAD DE LA EMPRESA SOLUCIONES MDS CON MIRAS A ATENDER MERCADOS NACIONALES E INTERNACIONALES MEDIANTE LA AUTOMATIZACION DE LA LINEA DE CAJAS TIPO CONDUIT Y EL DESARROLLO DE NUEVOS PRODUCTOS PLASTICOS,CORPORACION CENTRO RED TECNOLOGICO METALMECANICO SEDE BOGOTA - CRTM (DP),INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
110145425066,CARACTERIZACION Y ESTANDARIZACION DEL PROCESO DE MADURACION DE LA CARNE PROVENIENTE DE ANIMALES DE LA RAZA CEBU BRAHMAN CON DIFERENTES EDADES AL SACRIFICIO,UNIVERSIDAD NACIONAL DE COLOMBIA - SEDE BOGOTA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
453345625832,CEU CAJERO ELECTRONICO UNIVERSAL - SOLUCIONES INTEGRADAS,CONSULTORIA INTERVENTORIA INSTALACIONES Y AUDITORIA DE TELECOMUNICACIONES - CIATEL S.A.,NUEVAS TECNOLOGIAS ELECTRONICAS,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
622445622051,DISENO Y CONSTRUCCION DE UNA PLANTA PILOTO PARA PRODUCIR CARBON ACTIVADO A PARTIR DEL CUESCO DE PALMA,INDUSTRIAS TECSOL LIMITADA,INFORMACION NO SOLICITADA,BOGOTA D.C.,BOGOTA D.C.,,,,,,,
